Timestamp,Close,xg_boost_buy,reg_log_buy,SVC_buy,xg_boost_sell,reg_log_sell,SVC_sell
1610564400,131.063995,True,True,True,True,False,True
1610564700,130.910003,True,True,True,True,False,True
1610565000,131.009994,True,True,True,True,False,True
1610565300,130.959899,True,True,True,True,False,True
1610565600,130.86,True,True,True,True,False,True
1610565900,130.920501,True,True,True,True,False,True
1610566200,130.970001,True,True,True,True,False,True
1610566500,131.050003,True,True,True,True,False,True
1610566800,130.850006,True,True,True,True,False,True
1610567100,131.050003,True,True,True,True,False,True
1610567400,131.059997,True,True,True,True,False,True
1610567700,131.000106,True,True,True,True,False,True
1610568000,130.985,True,True,True,True,False,True
1610568300,130.940002,True,True,True,True,False,True
1610568600,130.910003,True,True,True,True,False,True
1610568900,130.949996,True,True,True,True,False,True
1610569200,130.824996,True,True,True,True,False,True
1610569500,130.675003,True,True,True,True,False,True
1610569800,130.830001,True,True,True,True,False,True
1610570100,130.850006,True,True,True,True,False,True
1610570400,131.036895,True,True,True,True,False,True
1610570700,131.024993,True,True,True,True,False,True
1610571000,130.990005,True,True,True,True,False,True
1610571300,130.889999,True,True,True,True,False,True
1610634600,130.419998,True,True,True,True,False,True
1610634900,130.229995,True,True,True,True,False,True
1610635200,130.211593,True,True,True,True,False,True
1610635500,130.139801,True,True,True,False,False,True
1610635800,129.929306,True,True,True,False,False,True
1610636100,130.009994,True,True,True,False,False,True
1610636400,129.918197,True,True,True,False,False,True
1610636700,129.710098,True,True,True,False,False,True
1610637000,129.919998,True,True,True,False,False,True
1610637300,130.070007,True,True,True,True,False,True
1610637600,129.864303,True,True,True,False,False,True
1610637900,130.25,True,True,True,True,False,True
1610638200,130.220001,True,True,True,True,False,True
1610638500,130.430694,True,True,True,True,False,True
1610638800,130.655303,True,True,True,True,False,True
1610639100,130.705001,True,True,True,True,False,True
1610639400,130.669998,True,True,True,True,False,True
1610639700,130.622894,True,True,True,True,False,True
1610640000,130.434997,True,True,True,True,False,True
1610640300,130.400207,True,True,True,True,False,True
1610640600,130.639999,True,True,True,True,False,True
1610640900,130.179992,True,True,True,True,False,True
1610641200,130.320007,True,True,True,True,False,True
1610641500,130.395004,True,True,True,True,False,True
1610641800,130.419998,True,True,True,True,False,True
1610642100,130.149993,True,True,True,True,False,True
1610642400,130.210006,True,True,True,True,False,True
1610642700,129.953094,True,True,True,True,False,True
